,PolicyholderAgeinyears,IncomeofPolicyholderperannum,Planenrolledyear,YearofMaturity,NumberofPremiumspaidinyears,PremiumPaidtilldate,Totaldelayedmonths,Default
171,37,556387,2014,2024,9,75000,13,1
172,37,556387,2015,2025,8,66666,16,1
173,33,556387,2017,2027,6,50000,16,0
174,48,556387,2021,2031,2,16666,11,0
175,41,556387,2016,2026,7,58333,11,1
176,61,556387,2015,2025,8,66666,11,1
177,72,556387,2017,2027,6,50000,12,1
178,47,556387,2014,2024,9,75000,13,1
179,46,556387,2015,2025,8,66666,11,1
180,55,487580,2017,2027,6,50000,16,0
181,75,486590,2015,2025,8,66666,12,1
182,49,484300,2017,2027,6,50000,11,1
183,48,483220,2014,2024,9,75000,13,1
184,55,480820,2015,2025,8,66666,11,1
185,66,480140,2017,2027,6,50000,11,1
186,74,480130,2021,2031,2,16666,11,0
187,33,480120,2016,2026,7,58333,11,1
188,62,480110,2015,2025,8,66666,16,1
189,43,480110,2017,2027,6,50000,11,1
190,62,480100,2014,2024,9,75000,13,1
191,47,480070,2015,2025,8,66666,16,1
192,49,480060,2017,2027,6,50000,12,1
193,35,480060,2021,2031,2,16666,11,0
194,58,480060,2016,2026,7,58333,11,1
195,62,480050,2015,2025,8,66666,12,1
196,62,478690,2017,2027,6,50000,11,1
197,75,477820,2014,2024,9,75000,13,1
198,59,477570,2015,2025,8,66666,11,1
199,78,477260,2017,2027,6,50000,11,1
200,71,476970,2015,2025,8,66666,11,1
201,36,475110,2017,2027,6,50000,16,0
202,81,474870,2014,2024,9,75000,13,1
203,33,474330,2015,2025,8,66666,11,1
204,38,474150,2017,2027,6,50000,11,1
205,36,474070,2014,2024,9,75000,13,1
206,30,472600,2015,2025,8,66666,11,1
207,76,471050,2017,2027,6,50000,11,1
208,44,471040,2015,2025,8,66666,11,1
209,30,470040,2017,2027,6,50000,11,1
210,38,468280,2014,2024,9,75000,13,1
211,30,467600,2015,2025,8,66666,11,1
212,56,467580,2017,2027,6,50000,11,1
213,56,466850,2014,2024,9,75000,16,1
214,67,465040,2015,2025,8,66666,11,1
215,35,464050,2017,2027,6,50000,11,1
216,52,460130,2015,2025,8,66666,11,1
217,34,458600,2017,2027,6,50000,11,1
218,35,457650,2014,2024,9,75000,13,1
219,37,457560,2015,2025,8,66666,13,1
220,63,456140,2017,2027,6,50000,13,1
221,49,456140,2014,2024,9,75000,13,1
222,50,453140,2015,2025,8,66666,11,1
223,57,453130,2017,2027,6,50000,11,1
224,60,452570,2015,2025,8,66666,11,1
225,81,452370,2017,2027,6,50000,11,1
226,65,450150,2014,2024,9,75000,13,1
227,35,450150,2015,2025,8,66666,11,1
228,35,450150,2017,2027,6,50000,12,1
229,60,450140,2014,2024,9,75000,13,1
230,65,450130,2015,2025,8,66666,11,1
231,56,450120,2017,2027,6,50000,11,1
232,75,450110,2015,2025,8,66666,11,1
233,51,450110,2017,2027,6,50000,11,1
234,53,450100,2014,2024,9,75000,13,1
235,52,450090,2015,2025,8,66666,11,1
236,57,450090,2017,2027,6,50000,11,1
237,64,450080,2014,2024,9,75000,13,1
238,42,450070,2015,2025,8,66666,11,1
239,45,450070,2017,2027,6,50000,11,1
240,61,450060,2015,2025,8,66666,11,1
241,57,450060,2017,2027,6,50000,11,1
242,73,450050,2014,2024,9,75000,16,1
243,59,450050,2015,2025,8,66666,11,1
244,52,447950,2017,2027,6,50000,11,1
245,61,447150,2017,2027,6,50000,11,1
246,61,447050,2014,2024,9,75000,13,1
247,48,446130,2015,2025,8,66666,13,1
248,56,446000,2017,2027,6,50000,11,1
249,33,444050,2015,2025,8,66666,11,1
250,61,441130,2017,2027,6,50000,11,1
251,49,441120,2014,2024,9,75000,13,1
252,52,441090,2015,2025,8,66666,11,1
253,55,440290,2017,2027,6,50000,11,1
254,66,440200,2014,2024,9,75000,13,1
255,41,438110,2015,2025,8,66666,14,1
256,63,437620,2017,2027,6,50000,13,1
257,67,437550,2015,2025,8,66666,11,1
258,62,437550,2017,2027,6,50000,11,1
259,69,435120,2014,2024,9,75000,13,1
260,59,435120,2015,2025,8,66666,11,1
261,58,435080,2017,2027,6,50000,11,1
262,35,435030,2017,2027,6,50000,13,1
263,50,433610,2014,2024,9,75000,13,1
264,32,432310,2015,2025,8,66666,11,1
265,30,432060,2017,2027,6,50000,12,1
266,47,431020,2015,2025,8,66666,12,1
267,46,430590,2017,2027,6,50000,11,1
268,35,429720,2014,2024,9,75000,13,1
269,69,556387,2015,2025,8,66666,12,1
270,40,556387,2017,2027,6,50000,11,1
271,79,556387,2014,2024,9,75000,13,1
272,62,556387,2015,2025,8,66666,11,1
273,37,556387,2017,2027,6,50000,11,1
274,66,556387,2015,2025,8,66666,11,1
275,55,556387,2017,2027,6,50000,11,1
276,34,556387,2014,2024,9,75000,13,1
277,47,556387,2015,2025,8,66666,11,1
278,61,556387,2017,2027,6,50000,11,1
279,44,556387,2017,2027,6,50000,11,1
280,63,556387,2014,2024,9,75000,13,1
281,54,423040,2015,2025,8,66666,16,1
282,61,422640,2017,2027,6,50000,11,1
283,35,556387,2015,2025,8,66666,11,1
284,69,556387,2017,2027,6,50000,11,1
285,45,556387,2014,2024,9,75000,13,1
286,53,556387,2015,2025,8,66666,12,1
287,57,556387,2017,2027,6,50000,16,0
288,74,556387,2014,2024,9,75000,16,1
289,86,556387,2015,2025,8,66666,11,1
290,47,556387,2017,2027,6,50000,16,0
291,80,556387,2015,2025,8,66666,16,1
292,70,556387,2017,2027,6,50000,12,1
293,59,556387,2014,2024,9,75000,16,1
294,37,556387,2015,2025,8,66666,11,1
295,37,420030,2017,2027,6,50000,11,1
296,60,419790,2021,2031,2,16666,12,0
297,37,417630,2016,2026,7,58333,16,0
298,55,416680,2015,2025,8,66666,11,1
299,49,415120,2017,2027,6,50000,11,1
300,50,414130,2014,2024,9,75000,13,1
301,35,414080,2015,2025,8,66666,11,1
302,54,414020,2017,2027,6,50000,16,0
303,74,413300,2021,2031,2,16666,11,0
304,43,413100,2016,2026,7,58333,11,1
305,37,412620,2015,2025,8,66666,11,1
306,62,412560,2017,2027,6,50000,11,1
307,68,412540,2014,2024,9,75000,13,1
308,68,409610,2015,2025,8,66666,11,1
309,38,408930,2017,2027,6,50000,11,1
310,51,408010,2015,2025,8,66666,11,1
311,37,407640,2017,2027,6,50000,11,1
312,58,407610,2014,2024,9,75000,13,1
313,84,407600,2015,2025,8,66666,11,1
314,51,407600,2017,2027,6,50000,11,1
315,42,407490,2021,2031,2,16666,11,0
316,63,406520,2016,2026,7,58333,16,0
317,50,405150,2015,2025,8,66666,16,1
318,49,405120,2017,2027,6,50000,11,1
319,34,405080,2014,2024,9,75000,13,1
320,73,405080,2015,2025,8,66666,11,1
321,34,405070,2017,2027,6,50000,11,1
322,55,405070,2021,2031,2,16666,11,0
323,38,405060,2016,2026,7,58333,11,1
324,34,405040,2015,2025,8,66666,11,1
325,35,405030,2017,2027,6,50000,9,1
326,59,404530,2014,2024,9,75000,13,1
327,52,404070,2015,2025,8,66666,11,1
328,30,403800,2017,2027,6,50000,11,1
329,35,403770,2015,2025,8,66666,11,1
330,30,403750,2017,2027,6,50000,11,1
331,51,403240,2014,2024,9,75000,13,1
332,35,402540,2015,2025,8,66666,16,1
333,67,402290,2017,2027,6,50000,11,1
334,30,402100,2021,2031,2,16666,12,0
335,39,402060,2016,2026,7,58333,13,1
336,41,401980,2015,2025,8,66666,11,1
337,63,400950,2017,2027,6,50000,11,1
338,63,400650,2014,2024,9,75000,13,1
339,37,400140,2015,2025,8,66666,11,1
340,37,400100,2017,2027,6,50000,11,1
341,37,400090,2021,2031,2,16666,16,0
342,65,400090,2016,2026,7,58333,11,1
343,49,400070,2015,2025,8,66666,11,1
344,71,400050,2017,2027,6,50000,11,1
345,40,400030,2014,2024,9,75000,13,1
346,52,400030,2015,2025,8,66666,12,1
347,37,556387,2017,2027,6,50000,11,1
348,56,556387,2015,2025,8,66666,13,1
349,32,556387,2017,2027,6,50000,11,1
350,68,556387,2014,2024,9,75000,13,1
351,31,556387,2015,2025,8,66666,11,1
352,54,556387,2017,2027,6,50000,11,1
353,30,556387,2014,2024,9,75000,13,1
354,76,556387,2015,2025,8,66666,16,1
355,62,556387,2017,2027,6,50000,12,1
356,34,556387,2015,2025,8,66666,11,1
357,60,556387,2017,2027,6,50000,14,1
358,63,556387,2014,2024,9,75000,13,1
359,57,390140,2015,2025,8,66666,11,1
360,34,390140,2017,2027,6,50000,11,1
361,35,390130,2014,2024,9,75000,13,1
362,68,390120,2015,2025,8,66666,11,1
363,40,390120,2017,2027,6,50000,11,1
364,67,390120,2015,2025,8,66666,16,1
365,39,390110,2017,2027,6,50000,11,1
366,36,390110,2014,2024,9,75000,13,1
367,34,390100,2015,2025,8,66666,12,1
368,45,390090,2017,2027,6,50000,14,1
369,66,390060,2014,2024,9,75000,13,1
370,67,390050,2015,2025,8,66666,13,1
371,51,390030,2017,2027,6,50000,11,1
372,59,390030,2015,2025,8,66666,11,1
373,45,387870,2017,2027,6,50000,11,1
374,35,387650,2014,2024,9,75000,13,1
375,40,387600,2015,2025,8,66666,11,1
376,66,387570,2017,2027,6,50000,11,1
377,57,387560,2014,2024,9,75000,13,1
378,68,387520,2015,2025,8,66666,11,1
379,35,556387,2017,2027,6,50000,11,1
380,56,556387,2015,2025,8,66666,15,1
381,47,532060,2017,2027,6,50000,11,1
382,66,531860,2014,2024,9,75000,13,1
383,33,530280,2015,2025,8,66666,13,1
384,64,530070,2017,2027,6,50000,11,1
385,37,530030,2014,2024,9,75000,13,1
386,66,525140,2015,2025,8,66666,11,1
387,39,525110,2017,2027,6,50000,13,1
388,61,525110,2015,2025,8,66666,16,1
389,56,525060,2017,2027,6,50000,11,1
390,52,525040,2014,2024,9,75000,13,1
391,48,522130,2015,2025,8,66666,11,1
392,33,522130,2017,2027,6,50000,11,1
393,34,522120,2017,2027,6,50000,11,1
394,64,522080,2014,2024,9,75000,13,1
395,63,519120,2015,2025,8,66666,11,1
396,54,517950,2017,2027,6,50000,11,1
397,66,516030,2015,2025,8,66666,11,1
398,62,511600,2017,2027,6,50000,11,1
399,52,510130,2014,2024,9,75000,13,1
400,52,378130,2015,2025,8,66666,16,0
401,37,378090,2017,2027,6,50000,12,1
402,39,378040,2014,2024,9,75000,16,0
403,35,377940,2015,2025,8,66666,11,1
404,38,377600,2017,2027,6,50000,11,1
405,61,376580,2015,2025,8,66666,11,1
406,39,376530,2017,2027,6,50000,11,1
407,78,375860,2014,2024,9,75000,13,1
408,48,375640,2015,2025,8,66666,11,1
409,48,375610,2017,2027,6,50000,11,1
410,69,375440,2017,2027,6,50000,16,0
411,63,375150,2014,2024,9,75000,13,1
412,31,375140,2015,2025,8,66666,11,1
413,62,375140,2017,2027,6,50000,11,1
414,40,375130,2015,2025,8,66666,11,1
415,69,375130,2017,2027,6,50000,11,1
416,35,375130,2014,2024,9,75000,13,1
417,66,375120,2015,2025,8,66666,11,1
418,37,375110,2017,2027,6,50000,12,1
419,49,375100,2014,2024,9,75000,13,1
420,46,375100,2015,2025,8,66666,16,1
421,63,375100,2017,2027,6,50000,11,1
422,57,375090,2015,2025,8,66666,12,1
423,51,375090,2017,2027,6,50000,11,1
424,67,375090,2014,2024,9,75000,14,1
425,49,375080,2015,2025,8,66666,11,1
426,68,375080,2017,2027,6,50000,11,1
427,55,375060,2017,2027,6,50000,11,1
428,68,375060,2014,2024,9,75000,13,1
429,51,375050,2015,2025,8,66666,16,1
430,36,556387,2017,2027,6,50000,11,1
431,85,556387,2015,2025,8,66666,11,1
432,55,532060,2017,2027,6,50000,12,1
433,62,531860,2014,2024,9,75000,12,1
434,53,530280,2015,2025,8,66666,11,1
435,56,530070,2017,2027,6,50000,11,1
436,50,530030,2014,2024,9,75000,14,1
437,34,525140,2015,2025,8,66666,11,1
438,41,525110,2017,2027,6,50000,11,1
439,50,525110,2015,2025,8,66666,11,1
440,38,525060,2017,2027,6,50000,11,1
441,53,525040,2014,2024,9,75000,13,1
442,37,522130,2015,2025,8,66666,11,1
443,39,522130,2017,2027,6,50000,11,1
444,50,522120,2021,2031,2,16666,16,0
445,57,522080,2016,2026,7,58333,11,1
446,48,519120,2015,2025,8,66666,12,1
447,34,517950,2017,2027,6,50000,11,1
448,58,516030,2014,2024,9,75000,13,1
449,55,511600,2015,2025,8,66666,11,1
450,78,510130,2017,2027,6,50000,11,1
451,71,367300,2021,2031,2,16666,11,0
452,60,367030,2016,2026,7,58333,11,1
453,48,366120,2015,2025,8,66666,11,1
454,48,366090,2017,2027,6,50000,11,1
455,73,365980,2014,2024,9,75000,13,1
456,59,365810,2015,2025,8,66666,11,1
457,57,365540,2017,2027,6,50000,11,1
458,66,365020,2015,2025,8,66666,11,1
459,85,364790,2017,2027,6,50000,12,1
460,66,364490,2014,2024,9,75000,13,1
461,37,364090,2015,2025,8,66666,11,1
462,35,364080,2017,2027,6,50000,12,1
463,72,364070,2021,2031,2,16666,11,0
464,62,363120,2016,2026,7,58333,11,1
465,44,362590,2015,2025,8,66666,11,1
466,49,362530,2017,2027,6,50000,11,1
467,60,362530,2014,2024,9,75000,13,1
468,33,361970,2015,2025,8,66666,11,1
469,62,361860,2017,2027,6,50000,11,1
470,51,361530,2021,2031,2,16666,11,0
471,38,361400,2016,2026,7,58333,13,1
472,54,361320,2015,2025,8,66666,11,1
473,39,360650,2017,2027,6,50000,11,1
474,65,360140,2014,2024,9,75000,13,1
475,50,360140,2015,2025,8,66666,12,1
476,48,360140,2017,2027,6,50000,13,1
477,53,360130,2015,2025,8,66666,11,1
478,55,360120,2017,2027,6,50000,11,1
479,49,360120,2014,2024,9,75000,13,1
480,61,360110,2015,2025,8,66666,11,1
481,55,556387,2017,2027,6,50000,11,1
482,63,556387,2021,2031,2,16666,11,0
483,65,532060,2016,2026,7,58333,16,0
484,49,531860,2015,2025,8,66666,12,1
485,38,530280,2017,2027,6,50000,11,1
486,44,530070,2014,2024,9,75000,13,1
487,57,530030,2015,2025,8,66666,13,1
488,31,525140,2017,2027,6,50000,11,1
489,41,525110,2021,2031,2,16666,11,0
490,33,525110,2016,2026,7,58333,11,1
491,64,525060,2015,2025,8,66666,11,1
492,37,525040,2017,2027,6,50000,11,1
493,34,522130,2014,2024,9,75000,13,1
494,36,522130,2015,2025,8,66666,16,1
495,60,522120,2017,2027,6,50000,16,0
496,65,522080,2015,2025,8,66666,11,1
497,72,519120,2017,2027,6,50000,11,1
498,46,517950,2014,2024,9,75000,13,1
499,61,516030,2016,2031,7,87500,12,1
500,56,511600,2019,2034,4,50000,16,0
501,50,510130,2010,2025,13,162500,14,1
502,65,359080,2016,2031,7,87500,11,1
503,37,359020,2019,2034,4,50000,11,0
504,39,357950,2016,2031,7,87500,11,1
505,71,357590,2019,2034,4,50000,13,0
506,54,357150,2010,2025,13,162500,11,1
507,52,357090,2016,2031,7,87500,16,0
508,56,356910,2019,2034,4,50000,11,0
509,36,356500,2010,2025,13,162500,12,1
510,39,356380,2016,2031,7,87500,13,1
511,32,356020,2019,2034,4,50000,11,0
512,44,355350,2016,2031,7,87500,11,1
513,44,355120,2019,2034,4,50000,16,0
514,59,355060,2010,2025,13,162500,11,1
515,57,355020,2016,2031,7,87500,16,1
516,57,354780,2019,2034,4,50000,11,0
517,40,354060,2010,2025,13,162500,11,1
518,35,354050,2016,2031,7,87500,11,1
519,52,354050,2019,2034,4,50000,11,0
520,43,353610,2016,2031,7,87500,11,1
521,37,353480,2019,2034,4,50000,16,0
522,55,352550,2010,2025,13,162500,13,1
523,51,351810,2016,2031,7,87500,11,1
524,44,351570,2019,2034,4,50000,11,0
525,55,351150,2010,2025,13,162500,11,1
526,60,351070,2016,2031,7,87500,13,1
527,42,351060,2019,2034,4,50000,11,0
528,73,351030,2016,2031,7,87500,11,1
529,38,350130,2019,2034,4,50000,11,0
530,52,350120,2010,2025,13,162500,12,1
531,50,350100,2016,2031,7,87500,12,1
532,34,556387,2019,2034,4,50000,11,0
533,44,556387,2010,2025,13,162500,12,1
534,48,532060,2016,2031,7,87500,11,1
535,32,531860,2019,2034,4,50000,9,1
536,66,530280,2016,2031,7,87500,11,1
537,66,530070,2019,2034,4,50000,11,0
538,44,530030,2010,2025,13,162500,11,1
539,50,525140,2016,2031,7,87500,11,1
540,35,525110,2019,2034,4,50000,11,0
541,58,525110,2019,2034,4,50000,16,0
542,77,525060,2010,2025,13,162500,11,1
543,74,525040,2016,2031,7,87500,11,1
544,45,522130,2019,2034,4,50000,11,0
545,64,522130,2016,2031,7,87500,11,1
546,59,522120,2019,2034,4,50000,11,0
547,49,522080,2010,2025,13,162500,12,1
548,39,519120,2016,2031,7,87500,11,1
549,68,517950,2019,2034,4,50000,11,0
550,78,516030,2010,2025,13,162500,11,1
551,62,511600,2016,2031,7,87500,11,1
552,61,510130,2019,2034,4,50000,11,0
553,51,343530,2016,2031,7,87500,11,1
554,35,343250,2019,2034,4,50000,16,0
555,44,342580,2010,2025,13,162500,11,1
556,42,342120,2016,2031,7,87500,11,1
557,52,342100,2019,2034,4,50000,11,0
558,59,342080,2019,2034,4,50000,11,0
559,57,340980,2010,2025,13,162500,11,1
560,48,340400,2016,2031,7,87500,16,0
561,43,340140,2019,2034,4,50000,11,0
562,57,340140,2016,2031,7,87500,11,1
563,33,340140,2019,2034,4,50000,13,0
564,80,340070,2010,2025,13,162500,14,1
565,80,340050,2016,2031,7,87500,12,1
566,59,340040,2019,2034,4,50000,11,0
567,50,339420,2010,2025,13,162500,11,1
568,74,339370,2016,2031,7,87500,11,1
569,52,339140,2019,2034,4,50000,11,0
570,47,339070,2016,2031,7,87500,11,1
571,56,339010,2019,2034,4,50000,13,0
572,54,338730,2010,2025,13,162500,16,1
573,50,337820,2016,2031,7,87500,12,1
574,35,337780,2019,2034,4,50000,11,0
575,37,337650,2019,2034,4,50000,11,0
576,63,337640,2010,2025,13,162500,11,1
577,64,337620,2016,2031,7,87500,16,0
578,57,337610,2019,2034,4,50000,11,0
579,46,337600,2016,2031,7,87500,12,1
580,45,337580,2019,2034,4,50000,11,0
581,74,337570,2010,2025,13,162500,11,1
582,51,337560,2016,2031,7,87500,11,1
583,80,337530,2019,2034,4,50000,16,0
584,53,336250,2010,2025,13,162500,11,1
585,47,336140,2016,2031,7,87500,12,1
586,32,556387,2019,2034,4,50000,11,0
587,56,556387,2016,2031,7,87500,13,1
588,56,532060,2019,2034,4,50000,11,0
589,66,531860,2010,2025,13,162500,11,1
590,40,530280,2016,2031,7,87500,11,1
591,81,530070,2019,2034,4,50000,11,0
592,64,530030,2021,2036,2,25000,11,0
593,35,525140,2020,2035,3,37500,12,0
594,31,525110,2016,2031,7,87500,11,1
595,35,525110,2019,2034,4,50000,11,0
596,47,525060,2010,2025,13,162500,16,1
597,44,525040,2016,2031,7,87500,12,1
598,51,522130,2019,2034,4,50000,11,0
599,41,522130,2021,2036,2,25000,11,0
600,72,522120,2020,2035,3,37500,11,0
601,49,522080,2016,2031,7,87500,11,1
602,61,519120,2019,2034,4,50000,16,0
603,33,517950,2010,2025,13,162500,16,1
604,48,516030,2016,2031,7,87500,12,1
605,43,511600,2019,2034,4,50000,11,0
606,69,510130,2016,2031,7,87500,11,1
607,64,331940,2019,2034,4,50000,11,0
608,54,331590,2010,2025,13,162500,11,1
609,56,331550,2016,2031,7,87500,12,1
610,62,331350,2019,2034,4,50000,11,0
611,71,331100,2021,2036,2,25000,11,0
612,73,330570,2020,2035,3,37500,11,0
613,38,330150,2016,2031,7,87500,11,1
614,33,330150,2019,2034,4,50000,11,0
615,75,330150,2010,2025,13,162500,13,1
616,66,330140,2016,2031,7,87500,12,1
617,44,330140,2019,2034,4,50000,16,0
618,61,330130,2021,2036,2,25000,16,0
619,71,330130,2020,2035,3,37500,11,0
620,54,330110,2016,2031,7,87500,11,1
621,63,330110,2019,2034,4,50000,11,0
622,46,330100,2010,2025,13,162500,13,1
623,58,330100,2016,2031,7,87500,16,1
624,39,330100,2019,2034,4,50000,16,0
625,57,330090,2016,2031,7,87500,11,1
626,56,330080,2019,2034,4,50000,11,0
627,53,330080,2010,2025,13,162500,11,1
